type,log
juniper-srx,"{""@timestamp"":""2026-08-04T15:26:02.184Z"",""hostname"":""srx-dc1.acme.io"",""event_type"":""RT_FLOW_SESSION_CLOSE"",""reason"":""TCP FIN"",""source-address"":""203.0.113.47"",""source-port"":54211,""destination-address"":""10.1.2.14"",""destination-port"":443,""service-name"":""junos-https"",""nat-source-address"":""203.0.113.47"",""nat-source-port"":54211,""nat-destination-address"":""10.1.2.14"",""nat-destination-port"":443,""src-nat-rule-name"":""None"",""dst-nat-rule-name"":""dnat-web"",""protocol-id"":6,""policy-name"":""untrust-to-dmz-https"",""source-zone-name"":""untrust"",""destination-zone-name"":""dmz"",""session-id"":418273904,""packets-from-client"":26,""bytes-from-client"":15002,""packets-from-server"":22,""bytes-from-server"":14839,""elapsed-time"":3,""application"":""HTTPS"",""nested-application"":""UNKNOWN"",""username"":""N/A"",""roles"":""N/A"",""encrypted"":""UNKNOWN"",""routing-instance"":""default""}"
juniper-srx,"{""timestamp"":""2026-07-19T06:14:02.771Z"",""hostname"":""srx1500-edge-01"",""event"":""RT_FLOW_SESSION_DENY"",""source-address"":""45.153.160.132"",""source-port"":52410,""destination-address"":""10.2.4.19"",""destination-port"":1433,""service-name"":""junos-ms-sql"",""protocol-id"":6,""icmp-type"":0,""policy-name"":""deny-all-default"",""source-zone-name"":""untrust"",""destination-zone-name"":""dmz"",""application"":""UNKNOWN"",""nested-application"":""UNKNOWN"",""username"":""N/A"",""roles"":""N/A"",""packet-incoming-interface"":""ge-0/0/0.0"",""encrypted"":""UNKNOWN"",""reason"":""policy deny"",""session-id-32"":884471,""process"":""RT_FLOW"",""severity"":""warning"",""facility"":""daemon""}"
k3s-edge,"{""time"":""2026-08-04T16:18:31.402841Z"",""level"":""info"",""logger"":""k3s"",""msg"":""Cluster reconciled: node edge-k3s-0412 Ready"",""node"":""edge-k3s-0412"",""k3s_version"":""v1.30.3+k3s1"",""role"":""server"",""datastore"":""sqlite"",""pods_running"":14,""pods_total"":14,""cpu_millicores"":842,""memory_bytes"":1284192046,""uptime_seconds"":418273,""site"":""BOS-Plant-Floor"",""agent_count"":3,""flannel_backend"":""vxlan""}"
k3s-edge,"{""ts"":""2026-07-26T09:14:02.771382Z"",""level"":""error"",""logger"":""k3s"",""caller"":""agent/tunnel/tunnel.go:214"",""msg"":""Failed to connect to proxy"",""error"":""dial tcp 10.6.1.42:6443: connect: connection timed out"",""node"":""edge-node-0417"",""server"":""https://k3s-server.example.net:6443"",""component"":""k3s-agent"",""k3s_version"":""v1.30.3+k3s1"",""attempt"":9,""backoff_seconds"":30,""kubelet_healthy"":false,""containerd_healthy"":true,""pods_running"":4,""pods_expected"":7,""node_condition"":""NotReady"",""last_heartbeat"":""2026-07-26T09:09:44.118Z""}"
kafka,"{""@timestamp"":""2026-08-04T15:03:31.402Z"",""level"":""INFO"",""logger_name"":""kafka.server.ReplicaFetcherManager"",""thread_name"":""data-plane-kafka-request-handler-6"",""message"":""[ReplicaFetcherManager on broker 3] Removed fetcher for partitions Set(orders.invoices.v1-7)"",""broker_id"":3,""cluster_id"":""Xk7pL9mzV2Qr8Zx1Qw4Er7"",""topic"":""orders.invoices.v1"",""partition"":7,""kafka_version"":""3.8.0"",""host"":""kafka-prod-03.acme.io""}"
kafka,"{""timestamp"":""2026-07-14T04:22:19.118Z"",""level"":""ERROR"",""logger"":""kafka.server.ReplicaFetcherThread"",""thread"":""ReplicaFetcherThread-2-4"",""message"":""Error for partition orders-events-7 at offset 4418822109"",""broker_id"":3,""cluster_id"":""7b1c9d43e02a4f18"",""topic"":""orders-events"",""partition"":7,""leader_id"":4,""error_code"":""OFFSET_OUT_OF_RANGE"",""exception"":""org.apache.kafka.common.errors.OffsetOutOfRangeException: Received invalid fetch offset 4418822109 for partition orders-events-7, start offset 4419001772, high watermark 4419884471"",""isr_shrink"":true,""under_replicated_partitions"":12,""kafka_version"":""3.8.0""}"
kandji,"{""id"":""9c1e7f3a-2b84-5d06-71ab-34cd82ef5091"",""event_type"":""device.status.changed"",""occurred_at"":""2026-08-04T15:52:31.402841Z"",""data"":{""device"":{""id"":""3f81c7a2-9d64-4e0b-8a15-2c7be93df401"",""device_name"":""priya-mbair"",""serial_number"":""C02ZX1QW4ER7"",""platform"":""Mac"",""model"":""MacBook Air (13-inch, M4, 2025)"",""os_version"":""15.1.0"",""blueprint_id"":""a71f3c9d-4b28-5e06-9c13-7fd824ab5e30"",""blueprint_name"":""Engineering Macs"",""user"":{""email"":""priya.raghavan@acme.io"",""name"":""Priya Raghavan"",""id"":418273},""asset_tag"":""ACME-4182"",""last_check_in"":""2026-08-04T15:52:28Z"",""agent_version"":""6.4.1""},""status"":""Pass"",""previous_status"":""Remediated"",""library_item"":{""id"":""c1d84f2e-7b93-4a16-9f0c-3e5d81aa4b62"",""name"":""FileVault Encryption"",""type"":""Security""}}}"
kandji,"{""id"":""9f81c3ad-2b74-e560-a1c7-d2b4e9f0a51c"",""event_type"":""device.library_item.status_changed"",""occurred_at"":""2026-07-26T09:14:02.771Z"",""tenant_id"":""c41b7e28-5d90-4a13-8f66-9e2c0473ab55"",""data"":{""device"":{""id"":""a7f19c4b-2d80-4e35-91ac-6b70e2d3f581"",""device_name"":""MBP-PRAGHAVAN"",""serial_number"":""C02XKQ2MLPQ9"",""platform"":""Mac"",""os_version"":""15.0.1"",""model"":""MacBook Pro (16-inch, 2021)"",""blueprint_name"":""Engineering Standard"",""user"":{""id"":441882,""name"":""Priya Raghavan"",""email"":""priya.raghavan@example.net""},""last_check_in"":""2026-07-26T09:13:44.118Z"",""agent_version"":""5.4.1""},""library_item"":{""id"":""3f81c9a4-7b20-4d16-8e53-cc10a7b29d64"",""name"":""CrowdStrike Falcon Sensor"",""type"":""custom_app""},""status"":""FAILED"",""log"":""Installer exited with status 1: The sensor could not be installed because Full Disk Access has not been granted to falcond."",""remediation_count"":3,""last_audit_run"":""2026-07-26T09:14:02.771Z""}}"
keycloak,"{""timestamp"":""2026-08-04T15:09:02.118Z"",""level"":""INFO"",""loggerName"":""org.keycloak.events"",""type"":""LOGIN"",""realmId"":""9c1e7f3a-2b84-5d06-71ab-34cd82ef5091"",""realmName"":""acme"",""clientId"":""acme-web"",""userId"":""c1d84f2e-7b93-4a16-9f0c-3e5d81aa4b62"",""sessionId"":""3f81c7a2-9d64-4e0b-8a15-2c7be93df401"",""ipAddress"":""203.0.113.47"",""details"":{""auth_method"":""openid-connect"",""auth_type"":""code"",""response_type"":""code"",""redirect_uri"":""https://app.acme.io/callback"",""consent"":""no_consent_required"",""code_id"":""3f81c7a2-9d64-4e0b-8a15-2c7be93df401"",""username"":""marcus.feld@acme.io"",""response_mode"":""query""},""error"":null}"
keycloak,"{""timestamp"":""2026-07-19T05:12:41.882Z"",""level"":""WARN"",""loggerName"":""org.keycloak.events"",""type"":""LOGIN_ERROR"",""realmId"":""7b1c9d43-e02a-4f18-9c56-2ab7d0148e39"",""realmName"":""employees"",""clientId"":""shop-web"",""userId"":""c41b7e28-5d90-4a13-8f66-9e2c0473ab55"",""sessionId"":null,""ipAddress"":""91.219.238.11"",""error"":""invalid_user_credentials"",""details"":{""auth_method"":""openid-connect"",""auth_type"":""code"",""redirect_uri"":""https://shop.example.net/callback"",""grant_type"":""authorization_code"",""username"":""priya.raghavan@example.net"",""consent"":""no_consent_required""},""message"":""type=\""LOGIN_ERROR\"", realmId=\""employees\"", clientId=\""shop-web\"", error=\""invalid_user_credentials\""""}"
kong-gateway,"{""latencies"":{""kong"":2,""proxy"":36,""request"":39,""receive"":0},""service"":{""id"":""c1d84f2e-7b93-4a16-9f0c-3e5d81aa4b62"",""name"":""invoice-service"",""host"":""invoice-api.internal"",""port"":8080,""protocol"":""http"",""created_at"":1783294011,""connect_timeout"":60000,""write_timeout"":60000,""read_timeout"":60000},""route"":{""id"":""3f81c7a2-9d64-4e0b-8a15-2c7be93df401"",""name"":""invoice-route"",""paths"":[""/v2/invoices""],""protocols"":[""https""],""strip_path"":false,""preserve_host"":true},""request"":{""method"":""GET"",""uri"":""/v2/invoices?limit=25"",""url"":""https://api.acme.io/v2/invoices?limit=25"",""size"":621,""querystring"":{""limit"":""25""},""headers"":{""host"":""api.acme.io"",""user-agent"":""curl/8.7.1"",""accept"":""application/json""}},""response"":{""status"":200,""size"":14921,""headers"":{""content-type"":""application/json"",""content-length"":""14839"",""x-kong-upstream-latency"":""36"",""x-kong-proxy-latency"":""2""}},""client_ip"":""203.0.113.47"",""started_at"":1786033741402,""upstream_uri"":""/v2/invoices?limit=25"",""consumer"":{""id"":""a71f3c9d-4b28-5e06-9c13-7fd824ab5e30"",""username"":""acme-web""},""authenticated_entity"":{""id"":""9c1e7f3a-2b84-5d06-71ab-34cd82ef5091""}}"
kong-gateway,"{""request"":{""method"":""GET"",""uri"":""/v1/customers/8814"",""url"":""https://api.example.net/v1/customers/8814"",""size"":318,""querystring"":{},""headers"":{""host"":""api.example.net"",""user-agent"":""PostmanRuntime/7.41.0""}},""response"":{""status"":401,""size"":106,""headers"":{""content-type"":""application/json; charset=utf-8"",""www-authenticate"":""Key realm=\""kong\""""}},""latencies"":{""kong"":2,""proxy"":0,""request"":3,""receive"":0},""client_ip"":""73.118.204.9"",""started_at"":1783245119338,""service"":{""id"":""7b1c9d43-e02a-4f18-9c56-2ab7d0148e39"",""name"":""customers-api"",""host"":""customers.prod.svc.cluster.local"",""port"":8080,""protocol"":""http""},""route"":{""id"":""c41b7e28-5d90-4a13-8f66-9e2c0473ab55"",""paths"":[""/v1/customers""]},""consumer"":null,""authenticated_entity"":null,""upstream_uri"":null,""tries"":[]}"
kube-etcd,"{""level"":""info"",""ts"":""2026-08-04T14:35:51.884210Z"",""caller"":""traceutil/trace.go:171"",""msg"":""trace[1928374651] range"",""detail"":""{range_begin:/registry/pods/checkout/; range_end:/registry/pods/checkout0; response_count:14; response_revision:8471928; }"",""duration"":""112.418ms"",""start"":""2026-08-04T14:35:51.771792Z"",""end"":""2026-08-04T14:35:51.884210Z"",""steps"":[""trace[1928374651] 'agreement among raft nodes before linearized reading'  (duration: 41.882ms)"",""trace[1928374651] 'range keys from in-memory index tree'  (duration: 68.104ms)""],""step_count"":2}"
kube-etcd,"{""level"":""warn"",""ts"":""2026-07-22T11:47:33.201984Z"",""caller"":""etcdserver/util.go:166"",""msg"":""apply request took too long"",""took"":""1.482113s"",""expected-duration"":""100ms"",""prefix"":""read-only range "",""request"":""key:\""/registry/pods/prod/\"" range_end:\""/registry/pods/prod0\"" count_only:false "",""response"":""range_response_count:1842 size:4218993"",""error"":null,""member"":""etcd-2"",""leader"":false}"
kubernetes-apiserver,"{""ts"":1786032902.418327,""caller"":""httplog/httplog.go:132"",""msg"":""HTTP"",""v"":0,""verb"":""GET"",""URI"":""/api/v1/namespaces/kube-system/endpoints/kube-controller-manager"",""latency"":""3.812ms"",""userAgent"":""kube-controller-manager/v1.30.3 (linux/amd64) kubernetes/6fc0a69/leader-election"",""audit-ID"":""a71f3c9d-4b28-5e06-9c13-7fd824ab5e30"",""srcIP"":""10.1.0.4:52118"",""apf_pl"":""leader-election"",""apf_fs"":""system-leader-election"",""resp"":200}"
kubernetes-apiserver,"{""ts"":""2026-07-15T09:31:22.884713Z"",""level"":""error"",""logger"":""apiserver"",""caller"":""storage/cacher.go:451"",""msg"":""unable to transform key"",""key"":""/registry/secrets/prod/db-credentials"",""err"":""rpc error: code = DeadlineExceeded desc = context deadline exceeded"",""component"":""kube-apiserver"",""hostname"":""ip-10-6-1-42.us-east-2.compute.internal"",""v"":0}"
kubernetes-audit,"{""kind"":""Event"",""apiVersion"":""audit.k8s.io/v1"",""level"":""Metadata"",""auditID"":""c1d84f2e-7b93-4a16-9f0c-3e5d81aa4b62"",""stage"":""ResponseComplete"",""requestURI"":""/apis/apps/v1/namespaces/checkout/deployments/checkout-api"",""verb"":""patch"",""user"":{""username"":""system:serviceaccount:argocd:argocd-application-controller"",""uid"":""3f81c7a2-9d64-4e0b-8a15-2c7be93df401"",""groups"":[""system:serviceaccounts"",""system:serviceaccounts:argocd"",""system:authenticated""]},""sourceIPs"":[""10.1.4.22""],""userAgent"":""argocd-application-controller/v2.11.7 (linux/amd64) kubernetes/9c1e7f3"",""objectRef"":{""resource"":""deployments"",""namespace"":""checkout"",""name"":""checkout-api"",""apiGroup"":""apps"",""apiVersion"":""v1""},""responseStatus"":{""metadata"":{},""code"":200},""requestReceivedTimestamp"":""2026-08-04T14:34:41.118402Z"",""stageTimestamp"":""2026-08-04T14:34:41.142918Z"",""annotations"":{""authorization.k8s.io/decision"":""allow"",""authorization.k8s.io/reason"":""RBAC: allowed by ClusterRoleBinding \""argocd-application-controller\"" of ClusterRole \""argocd-application-controller\"" to ServiceAccount \""argocd-application-controller/argocd\""""}}"
kubernetes-audit,"{""kind"":""Event"",""apiVersion"":""audit.k8s.io/v1"",""level"":""RequestResponse"",""auditID"":""e1f7a92c-8b40-4d35-91ac-6b70e2d3f581"",""stage"":""ResponseComplete"",""requestURI"":""/apis/rbac.authorization.k8s.io/v1/clusterrolebindings"",""verb"":""create"",""user"":{""username"":""system:serviceaccount:ci:deployer"",""groups"":[""system:serviceaccounts"",""system:authenticated""]},""impersonatedUser"":null,""sourceIPs"":[""10.244.3.87""],""userAgent"":""helm/v3.15.3"",""objectRef"":{""resource"":""clusterrolebindings"",""name"":""ci-deployer-admin"",""apiGroup"":""rbac.authorization.k8s.io"",""apiVersion"":""v1""},""responseStatus"":{""metadata"":{},""status"":""Failure"",""message"":""clusterrolebindings.rbac.authorization.k8s.io \""ci-deployer-admin\"" is forbidden: user \""system:serviceaccount:ci:deployer\"" (groups=[\""system:serviceaccounts\"" \""system:authenticated\""]) is attempting to grant RBAC permissions not currently held"",""reason"":""Forbidden"",""code"":403},""requestReceivedTimestamp"":""2026-07-11T18:02:44.331209Z"",""stageTimestamp"":""2026-07-11T18:02:44.339881Z"",""annotations"":{""authorization.k8s.io/decision"":""allow"",""authorization.k8s.io/reason"":""RBAC: allowed by ClusterRoleBinding \""ci-deployer\"""",""rbac.authorization.k8s.io/escalation"":""denied""}}"
kubernetes-kubelet,"{""ts"":""2026-08-04T14:35:22.104812Z"",""level"":""info"",""caller"":""kubelet/kubelet.go:2451"",""msg"":""SyncLoop (PLEG): event for pod"",""pod"":""checkout/checkout-api-7f9c4b8d2e-xk4q1"",""event"":{""ID"":""c1d84f2e-7b93-4a16-9f0c-3e5d81aa4b62"",""Type"":""ContainerStarted"",""Data"":""9c1e7f3a2b845d0671ab34cd82ef50918f2a1c4d6e0b8a152c7be93df4018827""},""node"":""aks-nodepool1-41827304-vmss000004""}"
kubernetes-kubelet,"{""ts"":""2026-07-18T04:55:09.117338Z"",""level"":""warn"",""caller"":""kubelet/kubelet.go:2372"",""msg"":""Failed to admit pod, unexpected error while attempting to recover from admission failure"",""pod"":""prod/ml-trainer-6d8f9c47b5-r2xqz"",""podUID"":""c9f4a1b7-d28e-3506-ff17-b4a9c0d2e815"",""node"":""gpu-node-07"",""reason"":""OutOfnvidia.com/gpu"",""message"":""Node did not have enough resource: nvidia.com/gpu, requested: 4, used: 8, capacity: 8"",""evictionThreshold"":null,""component"":""kubelet""}"
laravel,"{""message"":""Invoice dispatched to queue"",""context"":{""invoice_id"":""INV20260804-0881"",""account_id"":8812,""queue"":""invoices"",""job_id"":""9c1e7f3a-2b84-5d06-71ab-34cd82ef5091"",""attempts"":1},""level"":200,""level_name"":""INFO"",""channel"":""production"",""datetime"":""2026-08-04T15:59:02.184291+00:00"",""extra"":{""request_id"":""7c3a91fbd2e846509a1b7c8d"",""url"":""https://billing.acme.io/api/invoices"",""ip"":""10.1.5.42"",""http_method"":""POST"",""memory_usage"":""42 MB"",""process_id"":48127}}"
laravel,"{""message"":""Illuminate\\Database\\QueryException: SQLSTATE[HY000] [2002] Connection refused (Connection: mysql, SQL: select * from `orders` where `id` = 8814 limit 1)"",""context"":{""exception"":{""class"":""Illuminate\\Database\\QueryException"",""message"":""SQLSTATE[HY000] [2002] Connection refused"",""code"":2002,""file"":""/var/www/app/vendor/laravel/framework/src/Illuminate/Database/Connection.php"",""line"":825,""trace"":[""/var/www/app/app/Http/Controllers/OrderController.php:44""]},""userId"":8814,""requestId"":""9f81c3ad-2b74-e560-a1c7-d2b4e9f0a51c"",""url"":""https://shop.example.net/orders/8814"",""method"":""GET"",""ip"":""203.0.113.77""},""level"":400,""level_name"":""ERROR"",""channel"":""production"",""datetime"":""2026-07-26T09:14:02.771382+00:00"",""extra"":{""process_id"":28194,""memory_peak_usage"":""84 MB""}}"
linkerd,"{""level"":""info"",""timestamp"":""2026-08-04T14:38:31.402841Z"",""target"":""linkerd_proxy_http::server"",""fields"":{""client.addr"":""10.1.4.19:41904"",""request.method"":""GET"",""request.uri"":""http://orders-api.orders.svc.cluster.local:8080/v1/orders/771204"",""request.version"":""HTTP/1.1"",""response.status"":200,""response.duration_ms"":24.118},""spans"":[{""name"":""outbound"",""addr"":""10.1.6.31:8080""}],""proxy.version"":""stable-2.14.10"",""pod"":""checkout-api-7f9c4b8d2e-xk4q1""}"
linkerd,"{""level"":""warn"",""timestamp"":""2026-07-21T20:41:09.338271Z"",""target"":""linkerd_proxy_http::client"",""fields"":{""message"":""Service failed"",""error"":""channel closed""},""spans"":[{""name"":""outbound"",""addr"":""10.244.7.19:8080""},{""name"":""proxy"",""client.addr"":""10.244.2.88:52410"",""dst"":""orders.prod.svc.cluster.local:8080""}],""pod"":""orders-5c8d9f7b64-mn2wq"",""namespace"":""prod"",""proxy_version"":""stable-2.15.4""}"
log4j-json,"{""instant"":{""epochSecond"":1786038182,""nanoOfSecond"":184291000},""thread"":""http-nio-8080-exec-14"",""level"":""INFO"",""loggerName"":""io.acme.ledger.InvoiceService"",""message"":""Created invoice INV20260804-0881 for account 8812"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.slf4j.Log4jLogger"",""contextMap"":{""traceId"":""4182739046512837410a1b2c3d4e5f60"",""spanId"":""8827104651283741"",""accountId"":""8812""},""threadId"":142,""threadPriority"":5,""source"":{""class"":""io.acme.ledger.InvoiceService"",""method"":""create"",""file"":""InvoiceService.java"",""line"":214}}"
log4j-json,"{""instant"":{""epochSecond"":1783235642,""nanoOfSecond"":771382000},""thread"":""pool-4-thread-7"",""level"":""ERROR"",""loggerName"":""com.example.orders.OrderRepository"",""message"":""Failed to persist order 8814"",""thrown"":{""commonElementCount"":0,""localizedMessage"":""could not execute statement [ERROR: value too long for type character varying(32)]"",""message"":""could not execute statement"",""name"":""org.hibernate.exception.DataException"",""extendedStackTrace"":[{""class"":""org.hibernate.exception.internal.SQLStateConversionDelegate"",""method"":""convert"",""file"":""SQLStateConversionDelegate.java"",""line"":98,""exact"":false},{""class"":""com.example.orders.OrderRepository"",""method"":""save"",""file"":""OrderRepository.java"",""line"":142,""exact"":true}]},""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.slf4j.Log4jLogger"",""contextMap"":{""traceId"":""4418822109337201884b1c9d43e02a4f18"",""spanId"":""1184472109337201"",""orderId"":""8814""},""threadId"":18,""threadPriority"":5}"
logback-json,"{""@timestamp"":""2026-08-04T16:03:31.402+00:00"",""@version"":""1"",""message"":""Created invoice INV20260804-0881 for account 8812"",""logger_name"":""io.acme.ledger.InvoiceService"",""thread_name"":""http-nio-8080-exec-14"",""level"":""INFO"",""level_value"":20000,""HOSTNAME"":""ledger-service-6d4f8b9c7-mq2xk"",""traceId"":""4182739046512837410a1b2c3d4e5f60"",""spanId"":""8827104651283741"",""accountId"":""8812"",""invoiceNumber"":""INV20260804-0881"",""durationMs"":184.29,""appName"":""ledger-service""}"
logback-json,"{""@timestamp"":""2026-07-26T09:14:02.771+00:00"",""@version"":""1"",""message"":""Circuit breaker 'inventory' transitioned from CLOSED to OPEN"",""logger_name"":""io.github.resilience4j.circuitbreaker.internal.CircuitBreakerStateMachine"",""thread_name"":""http-nio-8080-exec-9"",""level"":""WARN"",""level_value"":30000,""stack_trace"":null,""application"":""orders-api"",""host"":""orders-5c8d9f7b64-mn2wq"",""traceId"":""4418822109337201884b1c9d43e02a4f18"",""spanId"":""1184472109337201"",""circuitBreaker"":""inventory"",""failureRate"":68.4,""slowCallRate"":91.2,""bufferedCalls"":100,""failedCalls"":68,""lastError"":""java.net.SocketTimeoutException: Read timed out""}"
logstash,"{""@timestamp"":""2026-08-04T15:20:02.184Z"",""@version"":""1"",""level"":""INFO"",""logger_name"":""logstash.outputs.elasticsearch"",""thread_name"":""[main]>worker4"",""message"":""Bulk request completed"",""pipeline_id"":""prod-app-logs"",""host"":{""hostname"":""logstash-prod-02""},""events"":{""in"":4182,""filtered"":4182,""out"":4182},""took_ms"":128,""errors"":false,""index"":""prod-app-2026.08.04"",""batch_size"":250,""pipeline"":{""workers"":8,""batch_delay"":50}}"
logstash,"{""@timestamp"":""2026-07-11T03:52:14.338Z"",""level"":""WARN"",""logger"":""logstash.outputs.elasticsearch"",""thread"":""[main]>worker3"",""message"":""Could not index event to Elasticsearch."",""status"":400,""action"":""index"",""pipeline_id"":""prod-firewall"",""index"":""logs-firewall-2026.07.11"",""document_id"":null,""error"":{""type"":""mapper_parsing_exception"",""reason"":""failed to parse field [source.port] of type [long] in document. Preview of field's value: 'unknown'"",""caused_by"":{""type"":""illegal_argument_exception"",""reason"":""For input string: \""unknown\""""}},""event_dropped"":true,""dlq_enabled"":true,""host"":""logstash-04.example.net"",""pipeline_workers"":8}"
loki,"{""level"":""info"",""ts"":""2026-08-04T15:17:31.402841Z"",""caller"":""metrics.go:159"",""component"":""querier"",""org_id"":""acme"",""traceID"":""4182739046512837410"",""latency"":""fast"",""query"":""{namespace=\""checkout\"", app=\""checkout-api\""} |= \""charge created\"""",""query_hash"":2418273904,""query_type"":""filter"",""range_type"":""range"",""length"":""1h0m0s"",""start_delta"":""1h0m1.402841s"",""end_delta"":""1.402841s"",""step"":""15s"",""duration"":""412.882ms"",""status"":200,""limit"":1000,""returned_lines"":842,""throughput"":""184MB"",""total_bytes"":""77MB"",""total_entries"":842,""queue_time"":""1.104ms"",""splits"":2,""shards"":16,""cache_chunk_req"":412,""cache_chunk_hit"":398}"
loki,"{""ts"":""2026-07-20T17:22:08.102771Z"",""level"":""warn"",""caller"":""distributor.go:441"",""org_id"":""prod"",""msg"":""push refused"",""err"":""rpc error: code = ResourceExhausted desc = Maximum active stream limit exceeded, reduce the number of active streams (reduce labels or reduce label values), or contact your Loki administrator to see if the limit can be increased, user: 'prod'"",""status"":429,""tenant"":""prod"",""streams_dropped"":184,""entries_dropped"":44718,""bytes_dropped"":9184472,""active_streams"":100000,""max_streams"":100000,""remote_addr"":""10.244.3.87:52410"",""user_agent"":""promtail/3.1.1""}"
mailchimp,"{""type"":""campaign"",""fired_at"":""2026-08-04 15:51:02"",""data"":{""id"":""9c1e7f3a2b"",""campaign_id"":""9c1e7f3a2b"",""list_id"":""xk7pl9mzv2"",""subject"":""Acme Platform 4.12 is here"",""status"":""sent"",""emails_sent"":48219,""send_time"":""2026-08-04 15:00:00"",""report_summary"":{""opens"":18412,""unique_opens"":12841,""open_rate"":0.2663,""clicks"":4182,""subscriber_clicks"":3814,""click_rate"":0.0791,""unsubscribed"":42,""bounces"":118},""web_id"":418273904,""type"":""regular"",""archive_url"":""https://us14.campaign-archive.com/?u=xk7pl9mzv2&id=9c1e7f3a2b""}}"
mailchimp,"{""type"":""unsubscribe"",""fired_at"":""2026-07-26 09:14:02"",""data"":{""action"":""abuse"",""reason"":""abuse"",""id"":""9f81c3ad2b"",""email"":""priya.raghavan@example.net"",""email_type"":""html"",""ip_opt"":""73.118.204.9"",""web_id"":""441882210"",""merges"":{""EMAIL"":""priya.raghavan@example.net"",""FNAME"":""Priya"",""LNAME"":""Raghavan"",""INTERESTS"":""Product Updates""},""list_id"":""c41b7e285d"",""campaign_id"":""a7f19c4b2d"",""status"":""cleaned""}}"
mailgun,"{""signature"":{""timestamp"":""1786036981"",""token"":""9c1e7f3a2b845d0671ab34cd82ef50918f2a1c4d6e0b8a152c"",""signature"":""7c3a91fbd2e846509a1b7c8d9e0f1a2b3c4d5e6f7081920a1b2c3d4e5f607182""},""event-data"":{""id"":""Xk7pL9mzV2Qr8Zx1Qw4Er7"",""timestamp"":1786036981.402841,""event"":""delivered"",""log-level"":""info"",""delivery-status"":{""tls"":true,""mx-host"":""aspmx.l.google.com"",""code"":250,""description"":"""",""session-seconds"":0.884210,""utf8"":true,""attempt-no"":1,""message"":""OK"",""certificate-verified"":true},""flags"":{""is-routed"":false,""is-authenticated"":true,""is-system-test"":false,""is-test-mode"":false},""envelope"":{""transport"":""smtp"",""sender"":""billing@mg.acme.io"",""sending-ip"":""161.38.204.11"",""targets"":""ap@northwind-logistics.com""},""message"":{""headers"":{""to"":""ap@northwind-logistics.com"",""message-id"":""20260804154301.9c1e7f3a@mg.acme.io"",""from"":""Acme Billing <billing@mg.acme.io>"",""subject"":""Invoice INV20260804-0881""},""attachments"":[{""filename"":""INV20260804-0881.pdf"",""content-type"":""application/pdf"",""size"":184221}],""size"":193182},""recipient"":""ap@northwind-logistics.com"",""recipient-domain"":""northwind-logistics.com"",""tags"":[""invoice""],""user-variables"":{""account_id"":""8812""}}}"
mailgun,"{""signature"":{""timestamp"":""1783235642"",""token"":""9f81c3ad2b74e560a1c7d2b4e9f0a51c3d8e7b6219"",""signature"":""c41b7e285d904a138f669e2c0473ab55a7f19c4b2d804e3591ac6b70e2d3f581""},""event-data"":{""id"":""XkQ2mLpQ9zL0dPfA1sJc4h"",""timestamp"":1783235642.771,""event"":""failed"",""severity"":""permanent"",""reason"":""suppress-bounce"",""log-level"":""error"",""flags"":{""is-authenticated"":true,""is-routed"":false,""is-system-test"":false,""is-test-mode"":false},""envelope"":{""sender"":""orders@mg.example.net"",""transport"":""smtp"",""targets"":""priya.raghavan@example.net"",""sending-ip"":""161.38.204.19""},""message"":{""headers"":{""to"":""priya.raghavan@example.net"",""message-id"":""9f81c3ad2b74e560@mg.example.net"",""from"":""Example Net Orders <orders@mg.example.net>"",""subject"":""Your order 8814 has shipped""},""attachments"":[],""size"":41882},""recipient"":""priya.raghavan@example.net"",""recipient-domain"":""example.net"",""delivery-status"":{""attempt-no"":1,""code"":550,""message"":""5.1.1 The email account that you tried to reach does not exist"",""description"":"""",""session-seconds"":0.884,""utf8"":true,""retry-seconds"":null,""certificate-verified"":true,""tls"":true,""mx-host"":""aspmx.l.google.com""},""campaigns"":[],""tags"":[""order-receipt""],""user-variables"":{""order_id"":""8814""}}}"
mariadb,"{""ts"":""2026-08-04 14:50:31"",""thread_id"":41827,""user"":""reporting"",""host"":""analytics.internal"",""ip"":""10.32.18.204"",""db"":""warehouse"",""query_time"":1.884210,""lock_time"":0.000104,""rows_sent"":1204,""rows_examined"":48219,""rows_affected"":0,""bytes_sent"":184221,""query"":""SELECT region, SUM(total_cents) FROM orders WHERE created_at >= '2026-08-01' GROUP BY region"",""full_scan"":false,""tmp_table"":true,""tmp_table_on_disk"":false,""server"":""mariadb-prod-01"",""version"":""11.4.3-MariaDB""}"
mariadb,"{""timestamp"":""2026-07-20 02:41:18"",""hostname"":""prod-maria-02"",""program"":""mysqld"",""level"":""ERROR"",""thread"":41182,""message"":""Access denied for user 'reporting'@'10.44.7.19' (using password: YES)"",""error_code"":1045,""sqlstate"":""28000"",""connection_id"":41182,""user"":""reporting"",""host"":""10.44.7.19"",""database"":null,""plugin"":""mysql_native_password"",""aborted_connects"":37,""server_version"":""11.4.3-MariaDB-log""}"
